	Wind Speed (mph)	college station	data source:https://www.wunderground.com/history/monthly/us/tx/college-station/KCLL/date/2022-2
Feb	Max	Avg	Min
1	8	4.8	0
2	26	8.8	0
3	24	16.6	12
4	21	15	6
5	8	2.2	0
6	6	2.1	0
7	16	7.7	0
8	10	3.3	0
9	13	5	0
10	12	4.8	0
11	15	8.4	0
12	26	12.3	0
13	9	4.3	0
14	14	7.8	3
15	26	13.1	0
16	26	16.7	10
17	28	17.6	9
18	15	10.5	5
19	8	3.5	0
20	16	8.8	0
21	25	13.5	3
22	18	12.8	3
23	20	15.8	12
24	20	11.1	7
25	17	13.1	8
26	13	10	7
27	20	11.6	3
28	7	2.4	0
